JD,Filter,mag,magunc
2457893.89,ATLAS-c,20.26,-99.0
2457901.87,ATLAS-c,20.06,-99.0
2458195.0,ATLAS-c,20.16,-99.0
2458253.02,ATLAS-c,20.06,-99.0
2458496.12,ATLAS-o,20.0,-99.0
2458518.07,ATLAS-o,20.06,-99.0
2458571.97,ATLAS-o,20.06,-99.0
2458575.97,ATLAS-c,20.33,-99.0
2458579.97,ATLAS-c,20.14,-99.0
2458583.93,ATLAS-c,20.06,-99.0
2458598.96,ATLAS-o,20.38,-99.0
2458603.93,ATLAS-c,20.22,-99.0
2458607.92,ATLAS-c,20.1,-99.0
2458611.92,ATLAS-c,20.04,-99.0
2458624.76,ATLAS-o,20.15,-99.0
2458635.84,ATLAS-c,20.04,-99.0
2458846.11,ATLAS-o,20.12,-99.0
2458872.1,ATLAS-c,20.02,-99.0
2458903.93,ATLAS-c,20.1,-99.0
2458967.91,ATLAS-c,20.12,-99.0
2458968.89,ATLAS-o,20.06,-99.0
2458981.91,ATLAS-o,20.04,-99.0
2458983.83,ATLAS-c,20.04,-99.0
2458989.83,ATLAS-o,20.04,-99.0
2459013.84,ATLAS-o,20.11,-99.0
2459017.82,ATLAS-o,20.12,-99.0
2459025.8,ATLAS-o,20.08,-99.0
2459041.81,ATLAS-o,20.06,-99.0
2459227.14,ATLAS-c,20.1,-99.0
2459239.04,ATLAS-o,19.64,0.18
2459244.06,ATLAS-o,18.23,0.13
2459245.08,ATLAS-o,17.63,0.07
2459254.06,ATLAS-c,16.46,0.01
2459256.03,ATLAS-c,16.54,0.01
2459258.05,ATLAS-c,16.73,0.01
2459261.99,ATLAS-c,17.08,0.01
2459264.0,ATLAS-c,17.26,0.08
2459268.07,ATLAS-c,17.47,0.02
2459269.853,ZTF_r,17.23,0.02
2459269.854,ZTF_r,17.23,0.02
2459269.92,ATLAS-o,17.27,0.02
2459270.96,ATLAS-o,17.29,0.03
2459272.833,ZTF_r,17.49,0.03
2459278.0,ATLAS-o,17.66,0.03
2459292.02,ATLAS-c,18.28,0.04
2459293.95,ATLAS-o,17.71,0.03
2459297.88,ATLAS-o,17.76,0.04
2459299.89,ATLAS-o,17.77,0.26
2459301.843,ZTF_g,19.23,0.19
2459301.844,ZTF_g,19.02,0.16
2459303.96,ATLAS-o,17.69,0.04
2459304.838,ZTF_r,17.73,0.03
2459304.838,ZTF_r,17.78,0.03
2459304.871,ZTF_g,19.52,0.22
2459304.871,ZTF_g,19.26,0.15
2459306.0,ATLAS-o,17.75,0.03
2459307.92,ATLAS-o,17.68,0.03
2459309.98,ATLAS-c,18.34,0.04
2459310.98,ATLAS-c,18.39,0.04
2459312.809,ZTF_r,17.79,0.02
2459313.96,ATLAS-c,18.31,0.04
2459317.97,ATLAS-c,18.29,0.06
2459319.89,ATLAS-o,17.62,0.03
2459321.95,ATLAS-c,18.29,0.04
2459323.87,ATLAS-o,17.57,0.03
2459324.706,ZTF_r,17.61,0.02
2459324.706,ZTF_r,17.65,0.02
2459327.81,ATLAS-o,17.58,0.05
2459329.9,ATLAS-o,17.53,0.05
2459331.94,ATLAS-o,17.39,0.06
2459333.5,Ks,14.97,0.15
2459333.5,J,15.38,0.15
2459333.93,ATLAS-o,17.37,0.03
2459335.87,ATLAS-o,17.29,0.02
2459337.98,ATLAS-o,17.24,0.03
2459339.813,ZTF_r,17.31,0.02
2459340.03,ATLAS-o,17.2,0.03
2459342.03,ATLAS-o,17.17,0.02
2459343.726,ZTF_r,17.24,0.01
2459343.85,ATLAS-c,17.88,0.03
2459345.88,ATLAS-o,17.09,0.01
2459347.95,ATLAS-c,17.71,0.03
2459349.84,ATLAS-o,16.99,0.02
2459351.83,ATLAS-o,16.89,0.02
2459353.86,ATLAS-o,16.9,0.02
2459357.84,ATLAS-o,16.93,0.03
2459359.81,ATLAS-o,16.8,0.02
